open;close;high;low;value;volume;begin;end
20593;20593;20604;20556;0;3787;2019-03-14 10:00:00;2019-03-14 10:00:59
20590;20590;20593;20567;0;1552;2019-03-14 10:01:00;2019-03-14 10:01:59
20590;20583;20591;20582;0;752;2019-03-14 10:02:00;2019-03-14 10:02:59
20582;20579;20589;20579;0;431;2019-03-14 10:03:00;2019-03-14 10:03:59
20581;20566;20581;20560;0;1227;2019-03-14 10:04:00;2019-03-14 10:04:59
20565;20560;20569;20549;0;1779;2019-03-14 10:05:00;2019-03-14 10:05:59
20559;20568;20570;20555;0;730;2019-03-14 10:06:00;2019-03-14 10:06:59
20567;20563;20570;20563;0;663;2019-03-14 10:07:00;2019-03-14 10:07:59
20565;20571;20574;20565;0;467;2019-03-14 10:08:00;2019-03-14 10:08:59
20572;20563;20572;20561;0;442;2019-03-14 10:09:00;2019-03-14 10:09:59
20565;20562;20567;20562;0;241;2019-03-14 10:10:00;2019-03-14 10:10:59
20562;20566;20566;20562;0;195;2019-03-14 10:11:00;2019-03-14 10:11:59
20565;20561;20566;20561;0;164;2019-03-14 10:12:00;2019-03-14 10:12:59
20565;20549;20565;20535;0;1695;2019-03-14 10:13:00;2019-03-14 10:13:59
20548;20535;20548;20530;0;701;2019-03-14 10:14:00;2019-03-14 10:14:59
20537;20534;20548;20532;0;1328;2019-03-14 10:15:00;2019-03-14 10:15:59
20537;20530;20537;20517;0;2717;2019-03-14 10:16:00;2019-03-14 10:16:59
20530;20540;20541;20529;0;322;2019-03-14 10:17:00;2019-03-14 10:17:59
20540;20538;20540;20530;0;293;2019-03-14 10:18:00;2019-03-14 10:18:59
20538;20546;20549;20537;0;649;2019-03-14 10:19:00;2019-03-14 10:19:59
20546;20549;20549;20542;0;655;2019-03-14 10:20:00;2019-03-14 10:20:59
20549;20544;20550;20540;0;875;2019-03-14 10:21:00;2019-03-14 10:21:59
20544;20540;20548;20537;0;733;2019-03-14 10:22:00;2019-03-14 10:22:59
20542;20536;20548;20534;0;348;2019-03-14 10:23:00;2019-03-14 10:23:59
20535;20549;20551;20533;0;970;2019-03-14 10:24:00;2019-03-14 10:24:59
20549;20554;20556;20547;0;436;2019-03-14 10:25:00;2019-03-14 10:25:59
20553;20551;20554;20548;0;137;2019-03-14 10:26:00;2019-03-14 10:26:59
20550;20561;20562;20548;0;658;2019-03-14 10:27:00;2019-03-14 10:27:59
20561;20556;20565;20553;0;535;2019-03-14 10:28:00;2019-03-14 10:28:59
20556;20554;20558;20550;0;513;2019-03-14 10:29:00;2019-03-14 10:29:59
20553;20549;20553;20544;0;1213;2019-03-14 10:30:00;2019-03-14 10:30:59
20549;20556;20557;20548;0;737;2019-03-14 10:31:00;2019-03-14 10:31:59
20558;20553;20558;20547;0;192;2019-03-14 10:32:00;2019-03-14 10:32:59
20553;20558;20560;20551;0;250;2019-03-14 10:33:00;2019-03-14 10:33:59
20559;20551;20560;20548;0;682;2019-03-14 10:34:00;2019-03-14 10:34:59
20550;20548;20552;20546;0;378;2019-03-14 10:35:00;2019-03-14 10:35:59
20550;20550;20550;20546;0;180;2019-03-14 10:36:00;2019-03-14 10:36:59
20550;20548;20551;20544;0;709;2019-03-14 10:37:00;2019-03-14 10:37:59
20549;20537;20549;20533;0;1589;2019-03-14 10:38:00;2019-03-14 10:38:59
20538;20543;20544;20536;0;392;2019-03-14 10:39:00;2019-03-14 10:39:59
20543;20545;20548;20540;0;227;2019-03-14 10:40:00;2019-03-14 10:40:59
20548;20541;20550;20541;0;182;2019-03-14 10:41:00;2019-03-14 10:41:59
20541;20538;20546;20538;0;433;2019-03-14 10:42:00;2019-03-14 10:42:59
20538;20539;20545;20530;0;1269;2019-03-14 10:43:00;2019-03-14 10:43:59
20540;20551;20551;20540;0;285;2019-03-14 10:44:00;2019-03-14 10:44:59
20551;20561;20562;20549;0;629;2019-03-14 10:45:00;2019-03-14 10:45:59
20561;20558;20563;20553;0;349;2019-03-14 10:46:00;2019-03-14 10:46:59
20560;20569;20570;20557;0;573;2019-03-14 10:47:00;2019-03-14 10:47:59
20568;20561;20572;20559;0;386;2019-03-14 10:48:00;2019-03-14 10:48:59
20561;20563;20565;20556;0;447;2019-03-14 10:49:00;2019-03-14 10:49:59
20564;20565;20569;20554;0;411;2019-03-14 10:50:00;2019-03-14 10:50:59
20566;20561;20569;20560;0;404;2019-03-14 10:51:00;2019-03-14 10:51:59
20562;20556;20563;20553;0;361;2019-03-14 10:52:00;2019-03-14 10:52:59
20556;20562;20570;20556;0;534;2019-03-14 10:53:00;2019-03-14 10:53:59
20562;20558;20563;20555;0;175;2019-03-14 10:54:00;2019-03-14 10:54:59
20557;20562;20563;20554;0;347;2019-03-14 10:55:00;2019-03-14 10:55:59
20562;20563;20565;20560;0;125;2019-03-14 10:56:00;2019-03-14 10:56:59
20562;20575;20582;20558;0;1211;2019-03-14 10:57:00;2019-03-14 10:57:59
20577;20597;20598;20571;0;1560;2019-03-14 10:58:00;2019-03-14 10:58:59
20594;20601;20612;20590;0;2591;2019-03-14 10:59:00;2019-03-14 10:59:59
20603;20650;20670;20596;0;8955;2019-03-14 11:00:00;2019-03-14 11:00:59
20653;20657;20658;20639;0;1594;2019-03-14 11:01:00;2019-03-14 11:01:59
20655;20659;20666;20649;0;1278;2019-03-14 11:02:00;2019-03-14 11:02:59
20657;20659;20662;20652;0;646;2019-03-14 11:03:00;2019-03-14 11:03:59
