open;close;high;low;value;volume;begin;end
21057;21074;21098;21037;0;975;2019-03-21 10:00:00;2019-03-21 10:00:59
21065;21091;21098;21033;0;1812;2019-03-21 10:01:00;2019-03-21 10:01:59
21095;21090;21101;21079;0;862;2019-03-21 10:02:00;2019-03-21 10:02:59
21099;21096;21101;21084;0;935;2019-03-21 10:03:00;2019-03-21 10:03:59
21101;21102;21136;21092;0;1163;2019-03-21 10:04:00;2019-03-21 10:04:59
21106;21120;21136;21106;0;1332;2019-03-21 10:05:00;2019-03-21 10:05:59
21120;21148;21152;21116;0;2153;2019-03-21 10:06:00;2019-03-21 10:06:59
21145;21130;21152;21130;0;1209;2019-03-21 10:07:00;2019-03-21 10:07:59
21130;21118;21133;21114;0;911;2019-03-21 10:08:00;2019-03-21 10:08:59
21118;21118;21122;21114;0;1079;2019-03-21 10:09:00;2019-03-21 10:09:59
21122;21129;21138;21118;0;1846;2019-03-21 10:10:00;2019-03-21 10:10:59
21129;21133;21140;21126;0;1890;2019-03-21 10:11:00;2019-03-21 10:11:59
21130;21119;21133;21104;0;2161;2019-03-21 10:12:00;2019-03-21 10:12:59
21121;21111;21121;21105;0;994;2019-03-21 10:13:00;2019-03-21 10:13:59
21110;21101;21114;21101;0;1255;2019-03-21 10:14:00;2019-03-21 10:14:59
21104;21109;21115;21100;0;1138;2019-03-21 10:15:00;2019-03-21 10:15:59
21103;21116;21121;21100;0;1000;2019-03-21 10:16:00;2019-03-21 10:16:59
21116;21127;21131;21106;0;594;2019-03-21 10:17:00;2019-03-21 10:17:59
21130;21147;21152;21122;0;677;2019-03-21 10:18:00;2019-03-21 10:18:59
21148;21178;21180;21140;0;755;2019-03-21 10:19:00;2019-03-21 10:19:59
21179;21192;21200;21173;0;1523;2019-03-21 10:20:00;2019-03-21 10:20:59
21192;21191;21195;21188;0;248;2019-03-21 10:21:00;2019-03-21 10:21:59
21192;21209;21209;21192;0;2142;2019-03-21 10:22:00;2019-03-21 10:22:59
21210;21220;21226;21209;0;1049;2019-03-21 10:23:00;2019-03-21 10:23:59
21223;21209;21227;21209;0;2400;2019-03-21 10:24:00;2019-03-21 10:24:59
21214;21205;21216;21200;0;511;2019-03-21 10:25:00;2019-03-21 10:25:59
21206;21198;21211;21195;0;230;2019-03-21 10:26:00;2019-03-21 10:26:59
21198;21195;21204;21191;0;609;2019-03-21 10:27:00;2019-03-21 10:27:59
