open;close;high;low;value;volume;begin;end
20418;20451;20466;20415;0;3964;2019-03-18 10:00:00;2019-03-18 10:00:59
20451;20455;20461;20448;0;2452;2019-03-18 10:01:00;2019-03-18 10:01:59
20457;20457;20461;20450;0;1484;2019-03-18 10:02:00;2019-03-18 10:02:59
20457;20447;20460;20447;0;558;2019-03-18 10:03:00;2019-03-18 10:03:59
20449;20444;20454;20440;0;962;2019-03-18 10:04:00;2019-03-18 10:04:59
20445;20438;20446;20435;0;786;2019-03-18 10:05:00;2019-03-18 10:05:59
20438;20440;20447;20436;0;402;2019-03-18 10:06:00;2019-03-18 10:06:59
20441;20441;20446;20438;0;491;2019-03-18 10:07:00;2019-03-18 10:07:59
20444;20437;20447;20435;0;414;2019-03-18 10:08:00;2019-03-18 10:08:59
20441;20444;20445;20439;0;284;2019-03-18 10:09:00;2019-03-18 10:09:59
20444;20446;20446;20438;0;776;2019-03-18 10:10:00;2019-03-18 10:10:59
20444;20493;20496;20441;0;4562;2019-03-18 10:11:00;2019-03-18 10:11:59
20492;20482;20505;20477;0;3712;2019-03-18 10:12:00;2019-03-18 10:12:59
20486;20483;20486;20474;0;799;2019-03-18 10:13:00;2019-03-18 10:13:59
20483;20479;20485;20465;0;911;2019-03-18 10:14:00;2019-03-18 10:14:59
20478;20487;20492;20478;0;1386;2019-03-18 10:15:00;2019-03-18 10:15:59
20491;20475;20491;20475;0;645;2019-03-18 10:16:00;2019-03-18 10:16:59
20477;20485;20485;20474;0;340;2019-03-18 10:17:00;2019-03-18 10:17:59
20485;20480;20485;20474;0;200;2019-03-18 10:18:00;2019-03-18 10:18:59
20481;20481;20482;20476;0;107;2019-03-18 10:19:00;2019-03-18 10:19:59
20483;20483;20491;20482;0;1181;2019-03-18 10:20:00;2019-03-18 10:20:59
20481;20490;20490;20481;0;632;2019-03-18 10:21:00;2019-03-18 10:21:59
20487;20481;20487;20474;0;454;2019-03-18 10:22:00;2019-03-18 10:22:59
20481;20483;20486;20479;0;169;2019-03-18 10:23:00;2019-03-18 10:23:59
20484;20496;20498;20481;0;1113;2019-03-18 10:24:00;2019-03-18 10:24:59
20496;20486;20499;20484;0;692;2019-03-18 10:25:00;2019-03-18 10:25:59
20490;20492;20492;20488;0;283;2019-03-18 10:26:00;2019-03-18 10:26:59
20493;20495;20501;20489;0;891;2019-03-18 10:27:00;2019-03-18 10:27:59
20495;20491;20498;20488;0;430;2019-03-18 10:28:00;2019-03-18 10:28:59
20492;20490;20494;20484;0;198;2019-03-18 10:29:00;2019-03-18 10:29:59
20489;20502;20504;20488;0;1014;2019-03-18 10:30:00;2019-03-18 10:30:59
20502;20513;20515;20501;0;3332;2019-03-18 10:31:00;2019-03-18 10:31:59
20513;20501;20518;20501;0;1305;2019-03-18 10:32:00;2019-03-18 10:32:59
20500;20510;20511;20497;0;859;2019-03-18 10:33:00;2019-03-18 10:33:59
