open;close;high;low;value;volume;begin;end
20702;20670;20709;20657;0;5227;2019-03-19 10:00:00;2019-03-19 10:00:59
20674;20655;20674;20642;0;3872;2019-03-19 10:01:00;2019-03-19 10:01:59
20655;20650;20656;20641;0;1806;2019-03-19 10:02:00;2019-03-19 10:02:59
20651;20650;20668;20643;0;1554;2019-03-19 10:03:00;2019-03-19 10:03:59
20650;20654;20656;20643;0;503;2019-03-19 10:04:00;2019-03-19 10:04:59
20655;20653;20660;20651;0;567;2019-03-19 10:05:00;2019-03-19 10:05:59
20653;20658;20661;20651;0;409;2019-03-19 10:06:00;2019-03-19 10:06:59
20657;20658;20663;20656;0;479;2019-03-19 10:07:00;2019-03-19 10:07:59
20657;20667;20668;20653;0;784;2019-03-19 10:08:00;2019-03-19 10:08:59
20667;20661;20672;20658;0;1313;2019-03-19 10:09:00;2019-03-19 10:09:59
20663;20660;20663;20655;0;639;2019-03-19 10:10:00;2019-03-19 10:10:59
20660;20658;20666;20655;0;416;2019-03-19 10:11:00;2019-03-19 10:11:59
20657;20646;20659;20643;0;1054;2019-03-19 10:12:00;2019-03-19 10:12:59
20644;20641;20653;20639;0;1551;2019-03-19 10:13:00;2019-03-19 10:13:59
20640;20643;20645;20636;0;1211;2019-03-19 10:14:00;2019-03-19 10:14:59
20641;20643;20648;20639;0;1133;2019-03-19 10:15:00;2019-03-19 10:15:59
20645;20647;20647;20639;0;725;2019-03-19 10:16:00;2019-03-19 10:16:59
20647;20640;20650;20640;0;517;2019-03-19 10:17:00;2019-03-19 10:17:59
20640;20637;20645;20636;0;1185;2019-03-19 10:18:00;2019-03-19 10:18:59
20637;20611;20643;20609;0;6632;2019-03-19 10:19:00;2019-03-19 10:19:59
20611;20630;20633;20611;0;1578;2019-03-19 10:20:00;2019-03-19 10:20:59
20629;20627;20634;20620;0;976;2019-03-19 10:21:00;2019-03-19 10:21:59
20628;20627;20628;20617;0;548;2019-03-19 10:22:00;2019-03-19 10:22:59
20628;20646;20646;20620;0;1091;2019-03-19 10:23:00;2019-03-19 10:23:59
20646;20634;20646;20626;0;550;2019-03-19 10:24:00;2019-03-19 10:24:59
20630;20632;20634;20627;0;299;2019-03-19 10:25:00;2019-03-19 10:25:59
20630;20628;20633;20625;0;306;2019-03-19 10:26:00;2019-03-19 10:26:59
20627;20630;20631;20621;0;328;2019-03-19 10:27:00;2019-03-19 10:27:59
20630;20621;20632;20617;0;419;2019-03-19 10:28:00;2019-03-19 10:28:59
20621;20623;20628;20616;0;568;2019-03-19 10:29:00;2019-03-19 10:29:59
20624;20621;20628;20621;0;462;2019-03-19 10:30:00;2019-03-19 10:30:59
20621;20616;20624;20615;0;533;2019-03-19 10:31:00;2019-03-19 10:31:59
20616;20614;20621;20614;0;376;2019-03-19 10:32:00;2019-03-19 10:32:59
20617;20621;20624;20614;0;193;2019-03-19 10:33:00;2019-03-19 10:33:59
20620;20620;20624;20614;0;168;2019-03-19 10:34:00;2019-03-19 10:34:59
20622;20624;20625;20613;0;577;2019-03-19 10:35:00;2019-03-19 10:35:59
20625;20628;20635;20624;0;713;2019-03-19 10:36:00;2019-03-19 10:36:59
20628;20637;20637;20628;0;672;2019-03-19 10:37:00;2019-03-19 10:37:59
20638;20632;20638;20629;0;386;2019-03-19 10:38:00;2019-03-19 10:38:59
20632;20639;20639;20630;0;378;2019-03-19 10:39:00;2019-03-19 10:39:59
20637;20639;20640;20634;0;508;2019-03-19 10:40:00;2019-03-19 10:40:59
20638;20640;20640;20635;0;744;2019-03-19 10:41:00;2019-03-19 10:41:59
20640;20640;20647;20637;0;2932;2019-03-19 10:42:00;2019-03-19 10:42:59
20642;20639;20644;20638;0;479;2019-03-19 10:43:00;2019-03-19 10:43:59
20640;20641;20643;20638;0;382;2019-03-19 10:44:00;2019-03-19 10:44:59
20642;20650;20650;20641;0;463;2019-03-19 10:45:00;2019-03-19 10:45:59
20651;20651;20654;20649;0;518;2019-03-19 10:46:00;2019-03-19 10:46:59
20652;20650;20654;20647;0;536;2019-03-19 10:47:00;2019-03-19 10:47:59
20651;20644;20651;20643;0;350;2019-03-19 10:48:00;2019-03-19 10:48:59
20645;20646;20648;20643;0;214;2019-03-19 10:49:00;2019-03-19 10:49:59
20646;20653;20653;20643;0;263;2019-03-19 10:50:00;2019-03-19 10:50:59
20652;20654;20659;20645;0;324;2019-03-19 10:51:00;2019-03-19 10:51:59
20657;20648;20658;20648;0;218;2019-03-19 10:52:00;2019-03-19 10:52:59
20650;20648;20650;20644;0;170;2019-03-19 10:53:00;2019-03-19 10:53:59
20649;20649;20650;20646;0;107;2019-03-19 10:54:00;2019-03-19 10:54:59
20649;20643;20651;20643;0;398;2019-03-19 10:55:00;2019-03-19 10:55:59
20643;20648;20649;20642;0;896;2019-03-19 10:56:00;2019-03-19 10:56:59
20648;20647;20649;20643;0;66;2019-03-19 10:57:00;2019-03-19 10:57:59
20647;20643;20647;20643;0;144;2019-03-19 10:58:00;2019-03-19 10:58:59
20643;20647;20650;20643;0;543;2019-03-19 10:59:00;2019-03-19 10:59:59
20650;20651;20655;20647;0;393;2019-03-19 11:00:00;2019-03-19 11:00:59
20652;20648;20653;20645;0;334;2019-03-19 11:01:00;2019-03-19 11:01:59
20649;20661;20667;20646;0;843;2019-03-19 11:02:00;2019-03-19 11:02:59
20661;20659;20664;20655;0;259;2019-03-19 11:03:00;2019-03-19 11:03:59
20662;20662;20663;20655;0;254;2019-03-19 11:04:00;2019-03-19 11:04:59
20660;20665;20671;20660;0;1302;2019-03-19 11:05:00;2019-03-19 11:05:59
20664;20668;20668;20656;0;485;2019-03-19 11:06:00;2019-03-19 11:06:59
20669;20689;20697;20668;0;2574;2019-03-19 11:07:00;2019-03-19 11:07:59
20688;20719;20720;20687;0;2607;2019-03-19 11:08:00;2019-03-19 11:08:59
