open;close;high;low;value;volume;begin;end
20425;20474;20504;20419;0;7489;2019-03-15 10:00:00;2019-03-15 10:00:59
20473;20473;20478;20454;0;1862;2019-03-15 10:01:00;2019-03-15 10:01:59
20473;20469;20482;20460;0;2231;2019-03-15 10:02:00;2019-03-15 10:02:59
20468;20465;20470;20460;0;581;2019-03-15 10:03:00;2019-03-15 10:03:59
20465;20461;20470;20460;0;649;2019-03-15 10:04:00;2019-03-15 10:04:59
20463;20460;20468;20460;0;339;2019-03-15 10:05:00;2019-03-15 10:05:59
20461;20462;20469;20460;0;243;2019-03-15 10:06:00;2019-03-15 10:06:59
20462;20437;20463;20437;0;1791;2019-03-15 10:07:00;2019-03-15 10:07:59
20438;20439;20448;20437;0;626;2019-03-15 10:08:00;2019-03-15 10:08:59
20440;20438;20449;20431;0;1271;2019-03-15 10:09:00;2019-03-15 10:09:59
20439;20453;20454;20433;0;1069;2019-03-15 10:10:00;2019-03-15 10:10:59
20454;20456;20458;20450;0;420;2019-03-15 10:11:00;2019-03-15 10:11:59
20456;20457;20463;20453;0;732;2019-03-15 10:12:00;2019-03-15 10:12:59
20459;20468;20472;20459;0;888;2019-03-15 10:13:00;2019-03-15 10:13:59
20468;20472;20475;20460;0;1360;2019-03-15 10:14:00;2019-03-15 10:14:59
20470;20468;20487;20467;0;1932;2019-03-15 10:15:00;2019-03-15 10:15:59
20470;20456;20480;20456;0;1295;2019-03-15 10:16:00;2019-03-15 10:16:59
20459;20455;20469;20455;0;746;2019-03-15 10:17:00;2019-03-15 10:17:59
20456;20464;20467;20456;0;971;2019-03-15 10:18:00;2019-03-15 10:18:59
20464;20471;20479;20463;0;1605;2019-03-15 10:19:00;2019-03-15 10:19:59
20472;20467;20481;20467;0;1325;2019-03-15 10:20:00;2019-03-15 10:20:59
20468;20474;20475;20468;0;428;2019-03-15 10:21:00;2019-03-15 10:21:59
20474;20476;20478;20470;0;985;2019-03-15 10:22:00;2019-03-15 10:22:59
20478;20477;20479;20475;0;368;2019-03-15 10:23:00;2019-03-15 10:23:59
20477;20474;20477;20469;0;494;2019-03-15 10:24:00;2019-03-15 10:24:59
20473;20470;20474;20467;0;416;2019-03-15 10:25:00;2019-03-15 10:25:59
20469;20465;20470;20462;0;270;2019-03-15 10:26:00;2019-03-15 10:26:59
20466;20461;20471;20461;0;172;2019-03-15 10:27:00;2019-03-15 10:27:59
20462;20458;20467;20456;0;208;2019-03-15 10:28:00;2019-03-15 10:28:59
20457;20458;20464;20453;0;317;2019-03-15 10:29:00;2019-03-15 10:29:59
20459;20469;20469;20455;0;389;2019-03-15 10:30:00;2019-03-15 10:30:59
20469;20475;20475;20468;0;205;2019-03-15 10:31:00;2019-03-15 10:31:59
20474;20472;20475;20467;0;203;2019-03-15 10:32:00;2019-03-15 10:32:59
20469;20477;20479;20469;0;355;2019-03-15 10:33:00;2019-03-15 10:33:59
20477;20463;20477;20463;0;988;2019-03-15 10:34:00;2019-03-15 10:34:59
20463;20469;20472;20460;0;248;2019-03-15 10:35:00;2019-03-15 10:35:59
20469;20476;20477;20466;0;508;2019-03-15 10:36:00;2019-03-15 10:36:59
20475;20474;20477;20472;0;239;2019-03-15 10:37:00;2019-03-15 10:37:59
20474;20471;20475;20468;0;329;2019-03-15 10:38:00;2019-03-15 10:38:59
20472;20471;20474;20471;0;71;2019-03-15 10:39:00;2019-03-15 10:39:59
20471;20477;20478;20471;0;406;2019-03-15 10:40:00;2019-03-15 10:40:59
20477;20474;20478;20471;0;414;2019-03-15 10:41:00;2019-03-15 10:41:59
20475;20477;20477;20475;0;197;2019-03-15 10:42:00;2019-03-15 10:42:59
20476;20469;20477;20469;0;289;2019-03-15 10:43:00;2019-03-15 10:43:59
20470;20472;20473;20466;0;357;2019-03-15 10:44:00;2019-03-15 10:44:59
20471;20473;20475;20471;0;126;2019-03-15 10:45:00;2019-03-15 10:45:59
20475;20463;20475;20462;0;308;2019-03-15 10:46:00;2019-03-15 10:46:59
20463;20459;20468;20455;0;499;2019-03-15 10:47:00;2019-03-15 10:47:59
20458;20455;20461;20453;0;377;2019-03-15 10:48:00;2019-03-15 10:48:59
20455;20450;20455;20449;0;404;2019-03-15 10:49:00;2019-03-15 10:49:59
20449;20455;20459;20448;0;318;2019-03-15 10:50:00;2019-03-15 10:50:59
20457;20459;20462;20456;0;117;2019-03-15 10:51:00;2019-03-15 10:51:59
20461;20456;20461;20456;0;79;2019-03-15 10:52:00;2019-03-15 10:52:59
20456;20455;20456;20454;0;99;2019-03-15 10:53:00;2019-03-15 10:53:59
20455;20457;20460;20452;0;233;2019-03-15 10:54:00;2019-03-15 10:54:59
20455;20455;20460;20452;0;301;2019-03-15 10:55:00;2019-03-15 10:55:59
20457;20460;20460;20453;0;165;2019-03-15 10:56:00;2019-03-15 10:56:59
20459;20456;20460;20456;0;134;2019-03-15 10:57:00;2019-03-15 10:57:59
20455;20459;20460;20455;0;140;2019-03-15 10:58:00;2019-03-15 10:58:59
20459;20470;20472;20459;0;968;2019-03-15 10:59:00;2019-03-15 10:59:59
20469;20465;20473;20457;0;672;2019-03-15 11:00:00;2019-03-15 11:00:59
20464;20474;20474;20462;0;812;2019-03-15 11:01:00;2019-03-15 11:01:59
20474;20447;20476;20444;0;1506;2019-03-15 11:02:00;2019-03-15 11:02:59
20450;20445;20453;20440;0;537;2019-03-15 11:03:00;2019-03-15 11:03:59
20445;20448;20448;20439;0;569;2019-03-15 11:04:00;2019-03-15 11:04:59
20448;20441;20452;20439;0;871;2019-03-15 11:05:00;2019-03-15 11:05:59
20440;20450;20453;20440;0;568;2019-03-15 11:06:00;2019-03-15 11:06:59
20452;20468;20472;20452;0;865;2019-03-15 11:07:00;2019-03-15 11:07:59
20466;20461;20472;20459;0;606;2019-03-15 11:08:00;2019-03-15 11:08:59
20461;20470;20472;20447;0;755;2019-03-15 11:09:00;2019-03-15 11:09:59
20469;20484;20489;20460;0;3190;2019-03-15 11:10:00;2019-03-15 11:10:59
20485;20489;20494;20480;0;2130;2019-03-15 11:11:00;2019-03-15 11:11:59
20490;20481;20493;20479;0;804;2019-03-15 11:12:00;2019-03-15 11:12:59
20481;20485;20486;20478;0;294;2019-03-15 11:13:00;2019-03-15 11:13:59
20485;20472;20486;20469;0;891;2019-03-15 11:14:00;2019-03-15 11:14:59
20473;20480;20489;20473;0;1359;2019-03-15 11:15:00;2019-03-15 11:15:59
20479;20482;20484;20476;0;268;2019-03-15 11:16:00;2019-03-15 11:16:59
20481;20479;20484;20476;0;85;2019-03-15 11:17:00;2019-03-15 11:17:59
20479;20494;20500;20476;0;1379;2019-03-15 11:18:00;2019-03-15 11:18:59
20494;20493;20498;20489;0;586;2019-03-15 11:19:00;2019-03-15 11:19:59
20493;20504;20509;20482;0;5866;2019-03-15 11:20:00;2019-03-15 11:20:59
20501;20506;20508;20499;0;368;2019-03-15 11:21:00;2019-03-15 11:21:59
20505;20503;20513;20503;0;1123;2019-03-15 11:22:00;2019-03-15 11:22:59
20503;20486;20503;20486;0;911;2019-03-15 11:23:00;2019-03-15 11:23:59
20489;20493;20495;20489;0;254;2019-03-15 11:24:00;2019-03-15 11:24:59
20495;20492;20497;20489;0;355;2019-03-15 11:25:00;2019-03-15 11:25:59
20493;20492;20495;20490;0;169;2019-03-15 11:26:00;2019-03-15 11:26:59
20494;20502;20507;20492;0;735;2019-03-15 11:27:00;2019-03-15 11:27:59
20504;20504;20506;20502;0;186;2019-03-15 11:28:00;2019-03-15 11:28:59
20504;20509;20509;20500;0;358;2019-03-15 11:29:00;2019-03-15 11:29:59
20506;20513;20528;20501;0;5961;2019-03-15 11:30:00;2019-03-15 11:30:59
20512;20509;20517;20508;0;619;2019-03-15 11:31:00;2019-03-15 11:31:59
20509;20502;20513;20502;0;382;2019-03-15 11:32:00;2019-03-15 11:32:59
20502;20500;20509;20500;0;747;2019-03-15 11:33:00;2019-03-15 11:33:59
20501;20491;20504;20491;0;799;2019-03-15 11:34:00;2019-03-15 11:34:59
20492;20486;20497;20486;0;892;2019-03-15 11:35:00;2019-03-15 11:35:59
20486;20483;20491;20474;0;2173;2019-03-15 11:36:00;2019-03-15 11:36:59
20483;20485;20487;20482;0;402;2019-03-15 11:37:00;2019-03-15 11:37:59
20483;20485;20485;20480;0;168;2019-03-15 11:38:00;2019-03-15 11:38:59
20483;20479;20489;20479;0;378;2019-03-15 11:39:00;2019-03-15 11:39:59
20480;20474;20482;20471;0;695;2019-03-15 11:40:00;2019-03-15 11:40:59
20474;20472;20478;20469;0;577;2019-03-15 11:41:00;2019-03-15 11:41:59
20474;20484;20484;20474;0;508;2019-03-15 11:42:00;2019-03-15 11:42:59
20482;20486;20487;20481;0;357;2019-03-15 11:43:00;2019-03-15 11:43:59
20484;20486;20486;20480;0;377;2019-03-15 11:44:00;2019-03-15 11:44:59
20485;20476;20491;20474;0;1068;2019-03-15 11:45:00;2019-03-15 11:45:59
20476;20480;20486;20470;0;247;2019-03-15 11:46:00;2019-03-15 11:46:59
