open;close;high;low;value;volume;begin;end
20745;20767;20798;20738;0;2406;2019-03-20 10:00:00;2019-03-20 10:00:59
20767;20795;20795;20755;0;1594;2019-03-20 10:01:00;2019-03-20 10:01:59
20793;20784;20810;20775;0;2740;2019-03-20 10:02:00;2019-03-20 10:02:59
20783;20788;20791;20765;0;894;2019-03-20 10:03:00;2019-03-20 10:03:59
20786;20797;20806;20785;0;1096;2019-03-20 10:04:00;2019-03-20 10:04:59
20798;20787;20800;20787;0;941;2019-03-20 10:05:00;2019-03-20 10:05:59
20789;20777;20790;20772;0;798;2019-03-20 10:06:00;2019-03-20 10:06:59
20779;20775;20780;20768;0;440;2019-03-20 10:07:00;2019-03-20 10:07:59
20776;20768;20776;20759;0;505;2019-03-20 10:08:00;2019-03-20 10:08:59
20768;20756;20768;20754;0;621;2019-03-20 10:09:00;2019-03-20 10:09:59
20759;20760;20764;20752;0;991;2019-03-20 10:10:00;2019-03-20 10:10:59
20760;20766;20770;20760;0;269;2019-03-20 10:11:00;2019-03-20 10:11:59
20764;20760;20768;20754;0;760;2019-03-20 10:12:00;2019-03-20 10:12:59
20760;20758;20760;20756;0;503;2019-03-20 10:13:00;2019-03-20 10:13:59
20756;20762;20762;20755;0;1077;2019-03-20 10:14:00;2019-03-20 10:14:59
20760;20769;20775;20757;0;1280;2019-03-20 10:15:00;2019-03-20 10:15:59
20768;20761;20768;20759;0;913;2019-03-20 10:16:00;2019-03-20 10:16:59
20759;20748;20762;20733;0;2212;2019-03-20 10:17:00;2019-03-20 10:17:59
20748;20728;20748;20726;0;1782;2019-03-20 10:18:00;2019-03-20 10:18:59
20728;20726;20728;20717;0;1421;2019-03-20 10:19:00;2019-03-20 10:19:59
20726;20717;20732;20714;0;2234;2019-03-20 10:20:00;2019-03-20 10:20:59
20716;20712;20717;20707;0;1597;2019-03-20 10:21:00;2019-03-20 10:21:59
20712;20725;20728;20709;0;2366;2019-03-20 10:22:00;2019-03-20 10:22:59
20723;20734;20734;20720;0;739;2019-03-20 10:23:00;2019-03-20 10:23:59
20734;20724;20734;20719;0;521;2019-03-20 10:24:00;2019-03-20 10:24:59
20726;20726;20730;20720;0;591;2019-03-20 10:25:00;2019-03-20 10:25:59
20729;20726;20731;20725;0;454;2019-03-20 10:26:00;2019-03-20 10:26:59
20725;20718;20729;20711;0;1268;2019-03-20 10:27:00;2019-03-20 10:27:59
20716;20720;20723;20716;0;721;2019-03-20 10:28:00;2019-03-20 10:28:59
20720;20710;20721;20710;0;1010;2019-03-20 10:29:00;2019-03-20 10:29:59
20713;20703;20713;20700;0;2445;2019-03-20 10:30:00;2019-03-20 10:30:59
20704;20704;20708;20700;0;661;2019-03-20 10:31:00;2019-03-20 10:31:59
20704;20695;20707;20694;0;1617;2019-03-20 10:32:00;2019-03-20 10:32:59
20695;20688;20700;20669;0;2485;2019-03-20 10:33:00;2019-03-20 10:33:59
20685;20685;20694;20683;0;1045;2019-03-20 10:34:00;2019-03-20 10:34:59
20685;20672;20687;20660;0;2905;2019-03-20 10:35:00;2019-03-20 10:35:59
20677;20682;20685;20674;0;451;2019-03-20 10:36:00;2019-03-20 10:36:59
20681;20666;20683;20666;0;649;2019-03-20 10:37:00;2019-03-20 10:37:59
20668;20670;20679;20667;0;496;2019-03-20 10:38:00;2019-03-20 10:38:59
20672;20660;20672;20650;0;2868;2019-03-20 10:39:00;2019-03-20 10:39:59
20660;20651;20660;20646;0;1340;2019-03-20 10:40:00;2019-03-20 10:40:59
20654;20662;20662;20653;0;1204;2019-03-20 10:41:00;2019-03-20 10:41:59
